Publisher Name,Type,Location,Country,Genres/Focus,Best Contact Name,Best Contact Title,Best Contact Email,Phone,Website,Executive Summary,Recent Books (2024-2025),Notable Authors,Annual Output,Audiobook Status,ICP Score,Priority Tier,LinkedIn,Outreach Notes
Hierophant Publishing,Traditional,San Antonio TX,USA,"Personal/spiritual growth, self-help, mind-body-spirit",Randy Davila,President,staff@hierophantpublishing.com,(210) 851-8584,hierophantpublishing.com,"Independent MBS publisher focused on transforming, enlightening books. Ancient Greek 'hierophant' means interpreter of sacred mysteries.","Plant Spirit Herbalism by Katie Kukwa (Oct 2024); Shakespeare's Guide to Living the Good Life (Jan 2025); Intuitive Astrology Book 2 by Molly McCord (2024)","Katie Kukwa, Molly McCord, don Miguel Ruiz Jr.",10-20,NO AUDIOBOOKS,95,TIER 1,linkedin.com/company/hierophant-publishing,"Small press, no audio program. Perfect ICP fit. Personal growth niche."
Business Expert Press,Academic,New York NY,USA,"Business education, management, MBA curricula",Scott Isenberg,Managing Executive Editor,Via website,(212) 661-8810,businessexpertpress.com,"Premier publisher of business content for colleges and universities since 2008. Precise business info written by experts. 30+ collections, 900+ books.","Business leadership series, Management collections, MBA coursework titles","Academic business experts, MBA faculty, industry practitioners",50-80,NO AUDIOBOOKS,92,TIER 1,linkedin.com/company/business-expert-press,"Academic focus perfect for professional audiobooks. Contact Scott Isenberg or Rob Zwettler (Exec Acquisitions Editor)."
Addicus Books,Traditional,Omaha NE,USA,"Consumer health, self-help, psychology, investing",Rod Colvin,Publisher,info@addicusbooks.com,(800) 352-2873,addicusbooks.com,"Family-owned since 1994. Focus on consumer health titles used by hospitals, clinics, and state health departments. IPG distribution.","Health titles for plastic surgeons, ophthalmologists, cardiologists; Divorce by State series (new 2024)","Dozens of doctors including specialists in all medical fields",10-12,NO AUDIOBOOKS,94,TIER 1,linkedin.com/in/rod-colvin-4963b99,"Excellent health niche. Books used by medical professionals. No postal mail queries since Sept 2024."
Deep Vellum Publishing,Nonprofit,Dallas TX,USA,"Literary translations, world literature, experimental fiction",Will Evans,Founder/CEO,Via website,(469) 781-4881,deepvellum.org,"Largest US publisher of literature in translation. Nonprofit founded 2013. Founder was knighted by French government 2024. Acquired Open Letter Books 2025.","Little Seed by Wei Tchou (NYer Best Books 2024); Recital of the Dark Verses (2024 Queen Sofia Prize); Trash (World Lit Today Discovery Prize)","Jon Fosse (2023 Nobel), Mikhail Shishkin, Anne Garréta, Carmen Boullosa, Sergio Pitol",40-60,NO AUDIOBOOKS,88,TIER 1,linkedin.com/company/deep-vellum,"World-class literary press. Translation focus offers unique audiobook opportunity. 1500+ books from 100 languages."
Publish Your Purpose,Hybrid,Hartford CT,USA,"Diverse voices, LGBTQ+, women, thought leadership",Jenn T. Grace,Founder/CEO,Via contact form,N/A,publishyourpurpose.com,"Hybrid publisher elevating voices excluded from traditional publishing. LGBTQ+ and women-owned B Corporation. Amazon bestselling authors.","A Royal Commitment by Prince Manvendra (2024); Leadership Types by Laura Barnard (Oct 2024); The SAFE Leader by Dr. Mark McBride (May 2024); Your Queer Career by Dr. Steve Yacovelli (Mar 2024)","Prince Manvendra, Laura Barnard, Dr. Mark McBride, Dr. Steve Yacovelli, Tony Ferraiolo",20-30,NO AUDIOBOOKS,90,TIER 1,linkedin.com/company/publishyourpurpose,"Certified B Corp. LGBTQ+ niche. Hybrid model = authors may fund audiobook. Diverse content perfect for audio."
Hatherleigh Press,Traditional,Hobart NY,USA,"Health, wellness, fitness, self-help, sustainability",Editorial Team,Acquisitions,ideas@hatherleighpress.com,(800) 528-2550,hatherleighcommunity.com,"Dedicated to publishing reliable health/wellness content. Books, DVDs, digital products. Distributed by Penguin Random House Distribution Services.","Living with chronic diseases, fitness/exercise guides, sustainable living titles","Health and wellness practitioners, fitness experts",15-25,NO AUDIOBOOKS,93,TIER 1,linkedin.com/company/hatherleigh-press,"PRH distribution but no audiobooks. Perfect health/wellness niche. Email ideas@hatherleighpress.com for submissions."
Schaffner Press,Traditional,Tucson AZ,USA,"Literary fiction, memoir, true crime, social concern",Tim Schaffner,Editor/Publisher,tim@schaffnerpress.com,N/A,schaffnerpress.com,"Founded 2001 by former literary agent. 80+ titles dealing with humanitarian issues. Distributed by Baker & Taylor Publisher Services.","California Medieval by Dianne Dugaw (Oct 2024 - NSA winner); The Oud Player of Cairo by Jasmin Attia (2023)","Dianne Dugaw, Jasmin Attia, Sean Murphy (Senior Editor)",5-6,NO AUDIOBOOKS,85,TIER 1,N/A,"Small literary press. 'Our door is open' - accessible. Query via email. 60K-100K word manuscripts. Social concern themes."
Crystal Lake Publishing,Traditional,International,USA,"Horror, dark fiction, suspense, mystery",Joe Mynhardt,Founder/CEO,joe@crystallakepub.com,N/A,crystallakepub.com,"World-leading dark fiction publisher since 2012. Bram Stoker Award wins. Now entertainment company with multiple imprints including comics, games, kids.","The Bed Makers by Chad Lutzke (Feb 2024); The Devil's Backbone (Feb 2024); Dastardly Damsels ed. by Suzie Lockhart (Oct 2024)","Stephen King, John Connolly, Christopher Golden, Ramsey Campbell, Jonathan Maberry",40-60,NO AUDIOBOOKS,91,TIER 1,linkedin.com/company/crystal-lake-publishing,"Sara Garcia is Editor-in-Chief. Horror niche exploding in audio. Multiple Bram Stoker Awards. Contact joe@crystallakepub.com."
Bull Publishing Company,Traditional,Boulder CO,USA,"Health, nutrition, chronic disease, self-care, caregiving",Jim Bull,Publisher,Via contact form,(303) 545-6350,bullpub.com,"Family-owned since 1972. Pioneer in stress management, obesity, cancer, children's nutrition trade books. Jim Bull took over from father David in 1994.","Living a Healthy Life with Chronic Conditions 5th Ed; Working With Worry by Dr. Samantha Sweeney; The Last Things We Talk About by Elizabeth Boatwright","Dr. Samantha Sweeney, Miriam Erick MS RD, Liz Crocker, Bev Johnson",8-12,NO AUDIOBOOKS,93,TIER 1,N/A,"Emily Sewell is CFO (since 2001). Erin Mulligan handles editorial. Health niche with chronic disease focus. Perfect for audio."
Findhorn Press,Traditional,Scotland,UK,"Mind-body-spirit, spirituality, holistic health, nature",Sabine Weeke,Editorial Director,Via Inner Traditions,N/A,findhornpress.com,"Founded from Findhorn Foundation spiritual community. Acquired by Inner Traditions 2018. 3 imprints: Findhorn, Camino Guides, Earthdancer.","Holistic healing, crystal healing, nature/angelic kingdoms titles","Diana Cooper, Carl Greer, Margaret Ann Lembo, Stewart Pearce, Allan Hunter",20-30,NO AUDIOBOOKS,87,TIER 1,N/A,"Now part of Inner Traditions family. Contact via innertraditions.com/publish. MBS niche perfect for audio meditation/healing content."
