Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Berrett-Koehler Publishers,Traditional,Oakland CA,USA,"Business, personal growth, current affairs",bkpub@bkpub.com,(510) 817-2277,"1333 Broadway Suite 1000, Oakland CA 94612",bkconnection.com,submissions@bkpub.com,40-50,Some,High,"Mission-driven publisher. Strong platform. Contact: Katie Sheehan (media) katie@bkpub.com"
Greenleaf Book Group,Hybrid,Austin TX,USA,"Business, entrepreneurship, self-improvement",contact@greenleafbookgroup.com,(512) 891-6100,"PO Box 91869, Austin TX 78709",greenleafbookgroup.com,submissions@greenleafbookgroup.com,40-60,Some,High,"70+ NYT/WSJ bestsellers. Runs Inc. Original, Fast Company Press, Wonderwell Press imprints"
Amplify Publishing Group,Hybrid,Herndon VA,USA,"Business, politics, self-help, technology",info@amplifypublishing.com,(703) 437-3584,"620 Herndon Parkway Suite 220, Herndon VA 20170",amplifypublishinggroup.com,info@amplifypublishing.com,50-80,Some,High,"85% royalty rate. Six imprints including Mascot Books"
BenBella Books,Traditional,Dallas TX,USA,"Business/finance, health/nutrition, nonfiction",glenn@benbellabooks.com,(214) 750-3600,"10300 N Central Expy Suite 530, Dallas TX",benbellabooks.com,Via website only,40,Some,High,"No phone/email pitches. Rights: rachel@benbellabooks.com. Distributed by S&S"
Mango Publishing,Traditional,Miami FL,USA,"Innovation, technology, marketing, management",chris@mango.bz,(305) 428-2299,"5966 S. Dixie Hwy Suite 300, South Miami FL 33143",mango.bz,Via Submittable,40-60,Some,High,"High royalties, no advances. CEO: Christopher McKenney"
Kogan Page,Traditional,London/NYC,UK/USA,"Business, management, HR, marketing, finance",kpinfo@koganpage.com,+44 20 7278 0433,"45 Gee Street 2nd Floor, London EC1V 3RS",koganpage.com,kpinfo@koganpage.com,80-100,Yes,Medium,"US office: 8 W 38th St Suite 902 NYC. +1 212 812 4414"
Career Press (Red Wheel/Weiser),Traditional,Newburyport MA,USA,"Career development, soft skills, personal finance",submissions@rwwbooks.com,N/A,N/A,redwheelweiser.com,submissions@rwwbooks.com,20-30,Some,High,"Acquired by Red Wheel 2017. Electronic submissions only"
Skyhorse Publishing,Traditional,New York NY,USA,"Sports, nature, history, business, current events",submissions@skyhorsepublishing.com,(212) 643-6816,"307 West 36th Street 11th Floor, NYC 10018",skyhorsepublishing.com,submissions@skyhorsepublishing.com,500+,Some,Medium,"Include category in subject line. Allworth Press imprint for creatives"
Post Hill Press,Traditional,Nashville TN,USA,"Pop culture, business, self-help, health, Christian",contact@posthillpress.com,(615) 261-4646,Brentwood TN,posthillpress.com,contact@posthillpress.com,80-100,Some,High,"Distributed by S&S. Bombardier Books imprint for conservative titles"
Turner Publishing,Traditional,Nashville TN,USA,"Business, history, wellness, fiction variety",Via website,(615) 255-2665,"4507 Charlotte Ave, Nashville TN 37209",turnerpublishing.com,Via website,50-75,Unknown,High,"Since 1984. 6000+ titles. Fieldstone Alliance imprint for nonprofits"
