Publisher Name,Type,Location,Country,Genres/Focus,Primary Contact Email,Phone,Website,Annual Output,Audiobook Status,ICP Score,Priority Tier,Outreach Notes
Hierophant Publishing,Traditional,San Antonio TX,USA,Personal/spiritual growth,submissions@hierophantpublishing.com,N/A,hierophantpublishing.com,10-20,NO AUDIOBOOKS - VERIFIED,95,TIER 1,"Small press, no audio program. Perfect ICP fit."
TCK Publishing,Traditional,Phoenix AZ,USA,"Self-help, business, finance",Via website,N/A,tckpublishing.com,20-40,UNKNOWN - LIKELY NO,90,TIER 1,"50% royalties, no author fees. Check Audible for titles."
Allworth Press (Skyhorse),Traditional,New York NY,USA,Business/self-help for creatives,allworthsubmissions@skyhorsepublishing.com,(212) 643-6816,skyhorsepublishing.com/allworth-press,20-25,LIMITED/UNKNOWN,88,TIER 1,"Creative professional focus. Check specific titles."
Business Expert Press,Traditional,Hampton NJ,USA,Academic/professional business,Via website,N/A,businessexpertpress.com,50-80,UNLIKELY - ACADEMIC,90,TIER 1,"Academic focus, 900+ books. High volume opportunity."
Sound Wisdom,Traditional,Shippensburg PA,USA,Personal development classics,Via website,N/A,soundwisdom.com,20-40,SOME - CHECK CATALOG,75,TIER 2,"Napoleon Hill publisher. May have some audio."
Addicus Books,Traditional,Omaha NE,USA,"Health, self-help, business",Via website,N/A,addicusbooks.com,10-20,UNLIKELY - SMALL,92,TIER 1,"Very small. IPG distribution. Likely no audio program."
Hatherleigh Press,Traditional,USA,USA,"Health, wellness, fitness",Via website,N/A,hatherleighpress.com,15-25,UNLIKELY - SMALL,90,TIER 1,"Health/wellness focus. Small output suggests no audio."
Future Tense Books,Traditional,Portland OR,USA,"Fiction, nonfiction, memoirs",Via website,N/A,futuretensebooks.com,4,NO - TOO SMALL,85,TIER 1,"Micro-press. Only 4 books/year. Definite opportunity."
Featherproof Books,Traditional,Chicago IL,USA,"Fiction, nonfiction",Via website,N/A,featherproof.com,N/A,UNLIKELY - SMALL,85,TIER 1,"Small indie. Strange/lovely focus. Likely no audio."
IdeaPress Publishing,Hybrid,Washington DC,USA,Business innovation,Via website,N/A,ideapresspublishing.com,8-15,UNKNOWN - CHECK,88,TIER 1,"Rohit Bhargava. Highly selective. Worth checking."
Forefront Books,Hybrid,Franklin TN,USA,"Business, leadership",Via website,N/A,forefrontbooks.com,20-35,SOME - PARTIAL,70,TIER 2,"Maxwell Leadership imprint. Check specific titles."
Page Two Books,Hybrid,Vancouver BC,Canada,Thought leadership,Via website,N/A,pagetwo.com,15-25,UNKNOWN - CHECK,85,TIER 1,"Canadian hybrid. Thought leadership focus."
Hurst Publishers,Traditional,London,UK,"Politics, history, business",Via email,N/A,hurstpublishers.com,90,UNLIKELY - CHECK,80,TIER 1,"50+ years. High volume. Check audiobook presence."
Icon Books,Traditional,London,UK,"Psychology, science, self-help",Via email,N/A,iconbooks.com,N/A,UNLIKELY - UK SMALL,85,TIER 1,"UK indie. Accessible nonfiction. Check Audible UK."
Panoma Press,Hybrid,UK,UK,"Business, entrepreneurship",Via website,N/A,panomapress.com,30-50,UNLIKELY - HYBRID,82,TIER 1,"UK hybrid model. Business focus. Good opportunity."
Schaffner Press,Traditional,Tucson AZ,USA,"Nonfiction, memoir, true crime",tim@schaffnerpress.com,N/A,schaffnerpress.com,N/A,UNLIKELY - SMALL,88,TIER 1,"Direct contact: Tim Schaffner. Small press."
Page Street Publishing,Traditional,Salem MA,USA,Wide nonfiction range,Via website,N/A,pagestreetpublishing.com,N/A,SOME - CHECK,70,TIER 2,"Good distribution. May have some audio."
Coffee House Press,Nonprofit,Minneapolis MN,USA,"Poetry, fiction, nonfiction",Via open periods,N/A,coffeehousepress.org,N/A,UNLIKELY - LITERARY,80,TIER 2,"Nonprofit literary. Probably no audio program."
Deep Vellum,Nonprofit,Dallas TX,USA,"Fiction, nonfiction, translations",Via website,N/A,deepvellum.org,N/A,UNLIKELY - LITERARY,78,TIER 2,"Translation focus. Literary nonprofit."
ATD Press,Association,Alexandria VA,USA,"Training, L&D, workplace",Via website,N/A,td.org/books,15-25,SOME - CHECK,75,TIER 2,"Association publisher. L&D niche. Check catalog."
Productivity Press,Academic,UK,UK,"Lean, Six Sigma, operations",Via Routledge,N/A,routledge.com,30-50,SOME - ACADEMIC,65,TIER 2,"Taylor & Francis. Academic may have some audio."
Major Street Publishing,Traditional,Melbourne,Australia,"Leadership, business, finance",Via website,N/A,majorstreet.com.au,20-40,UNLIKELY - AU,90,TIER 1,"Australian indie. Unlikely to have audio program."
Big Sky Publishing,Traditional,Australia,Australia,"Military, business, self-help",Via website,N/A,bigskypublishing.com.au,30-50,UNLIKELY - AU,88,TIER 1,"Australian indie. Good opportunity."
Dundurn Press,Traditional,Toronto,Canada,"Biography, history, business",Via website,N/A,dundurn.com,50-70,SOME - CHECK,70,TIER 2,"Canadian. May have some audio. Check catalog."
Affirm Press,Traditional,Melbourne,Australia,"Fiction, nonfiction",Via website,N/A,affirmpress.com.au,N/A,UNLIKELY - AU,85,TIER 1,"Australian indie literary."
Scribe Publications,Traditional,Melbourne,Australia,"Nonfiction, current affairs",Via website,N/A,scribepublications.com.au,N/A,UNLIKELY - AU,85,TIER 1,"Australian nonfiction focus."
Black Inc,Traditional,Melbourne,Australia,"Essays, politics",Via website,N/A,blackincbooks.com.au,N/A,UNLIKELY - AU,82,TIER 1,"Australian essays/politics."
Fremantle Press,Traditional,Fremantle WA,Australia,"Fiction, nonfiction, poetry",Via website,N/A,fremantlepress.com.au,N/A,UNLIKELY - AU,85,TIER 1,"Western Australia focus."
